cod_ine,rango_edad,sexo,fecha,decesos
20607,>= 60,M,2018-08-30,1
20607,>= 60,M,2018-09-20,1
20607,>= 60,M,2018-10-04,1
20607,>= 60,M,2018-12-06,1
20607,>= 60,M,2018-12-13,1
20607,>= 60,M,2018-12-27,1
20607,>= 60,M,2019-08-22,1
20607,>= 60,M,2019-10-24,1
20607,>= 60,M,2019-10-31,1
20607,>= 60,M,2020-02-13,1
20607,>= 60,M,2020-04-30,2
20607,>= 60,M,2020-05-07,1
20607,>= 60,M,2020-07-30,3
20607,>= 60,M,2020-08-06,2
20607,>= 60,M,2020-11-05,2
20607,>= 60,M,2020-11-26,1
20607,>= 60,M,2021-01-07,2
20607,>= 60,M,2021-01-21,1
20607,>= 60,M,2021-02-11,1
20607,>= 60,M,2021-04-15,1
20607,>= 60,M,2021-05-06,1
20607,>= 60,M,2021-05-27,1
20607,>= 60,M,2021-06-10,2
20607,>= 60,M,2021-06-24,2
20607,>= 60,M,2021-07-08,2
20607,>= 60,M,2021-07-29,3
20607,>= 60,M,2021-08-05,1
20607,>= 60,M,2021-08-12,1
20607,>= 60,M,2021-09-09,1
20607,>= 60,M,2021-10-07,1
20607,>= 60,M,2021-10-28,1
20607,>= 60,M,2021-12-09,1
20607,>= 60,M,2021-12-16,3
20607,>= 60,M,2022-01-20,1
20607,>= 60,M,2022-02-10,1
20607,>= 60,M,2022-03-10,1
20607,>= 60,M,2022-03-17,1
20607,>= 60,M,2022-03-24,2
20607,>= 60,M,2022-05-26,1
20607,>= 60,M,2022-06-02,1
20607,>= 60,M,2022-06-16,1
20607,>= 60,M,2022-06-23,1
20607,>= 60,M,2022-08-04,2
20607,>= 60,M,2022-08-18,1
20607,>= 60,M,2022-09-22,1
20607,>= 60,M,2022-10-13,1
20607,>= 60,M,2022-10-27,2
20607,>= 60,M,2022-11-17,1
20607,>= 60,M,2022-11-24,1
20607,>= 60,M,2023-05-25,1
20607,>= 60,M,2023-06-15,1
20608,0-19,F,2017-02-09,1
20608,0-19,F,2017-10-05,1
20608,0-19,F,2019-09-05,1
20608,0-19,M,2017-02-02,1
20608,0-19,M,2018-07-26,1
20608,0-19,M,2018-10-04,1
20608,0-19,M,2019-05-16,1
20608,0-19,M,2019-08-15,1
20608,0-19,M,2020-05-07,1
20608,0-19,M,2021-03-18,1
20608,0-19,M,2021-05-20,1
20608,20-39,F,2017-01-05,1
20608,20-39,F,2017-08-03,1
20608,20-39,F,2020-04-02,1
20608,20-39,F,2020-12-03,1
20608,20-39,M,2017-02-16,1
20608,20-39,M,2018-09-27,1
20608,20-39,M,2019-05-09,1
20608,20-39,M,2020-06-04,1
20608,20-39,M,2020-07-09,1
20608,20-39,M,2022-01-20,1
20608,20-39,M,2022-05-05,1
20608,20-39,M,2022-07-28,1
20608,20-39,M,2022-12-08,1
20608,40-49,F,2017-10-19,1
20608,40-49,F,2019-08-08,2
20608,40-49,F,2020-06-25,1
20608,40-49,M,2017-08-24,1
20608,40-49,M,2018-02-22,1
20608,40-49,M,2018-03-15,1
20608,40-49,M,2020-08-20,1
20608,40-49,M,2021-05-20,1
20608,40-49,M,2022-10-20,1
20608,40-49,M,2023-06-15,1
20608,50-59,F,2020-08-13,1
20608,50-59,F,2020-12-03,1
20608,50-59,F,2020-12-31,1
20608,50-59,F,2021-07-01,1
20608,50-59,F,2022-09-29,1
20608,50-59,M,2018-10-11,1
20608,50-59,M,2019-01-17,1
20608,50-59,M,2020-06-25,1
20608,50-59,M,2021-07-29,1
20608,50-59,M,2022-04-21,1
20608,50-59,M,2023-06-15,1
20608,>= 60,F,2017-01-19,1
20608,>= 60,F,2017-03-09,1
20608,>= 60,F,2017-06-08,1
20608,>= 60,F,2017-11-16,1
20608,>= 60,F,2018-03-29,1
20608,>= 60,F,2018-08-02,1
20608,>= 60,F,2019-01-24,1
20608,>= 60,F,2019-01-31,1
20608,>= 60,F,2020-02-13,1
20608,>= 60,F,2020-08-13,1
20608,>= 60,F,2020-10-08,1
20608,>= 60,F,2020-11-26,1
20608,>= 60,F,2020-12-03,1
20608,>= 60,F,2020-12-17,1
20608,>= 60,F,2021-06-17,1
20608,>= 60,F,2022-03-17,1
20608,>= 60,F,2022-06-02,1
20608,>= 60,F,2023-03-23,1
20608,>= 60,F,2023-06-15,1
20608,>= 60,M,2017-06-15,2
20608,>= 60,M,2017-11-30,1
20608,>= 60,M,2018-02-01,1
20608,>= 60,M,2018-02-08,1
20608,>= 60,M,2018-03-01,1
20608,>= 60,M,2018-06-14,2
20608,>= 60,M,2018-07-26,1
20608,>= 60,M,2018-08-30,1
20608,>= 60,M,2018-09-06,1
20608,>= 60,M,2018-10-18,1
20608,>= 60,M,2018-11-08,1
20608,>= 60,M,2018-11-29,1
20608,>= 60,M,2019-03-21,1
20608,>= 60,M,2019-06-27,1
20608,>= 60,M,2019-08-22,1
20608,>= 60,M,2019-09-12,1
20608,>= 60,M,2019-11-28,1
20608,>= 60,M,2020-07-23,1
20608,>= 60,M,2020-07-30,1
20608,>= 60,M,2020-08-06,2
20608,>= 60,M,2020-09-17,1
20608,>= 60,M,2020-10-29,1
20608,>= 60,M,2020-11-12,1
20608,>= 60,M,2021-02-04,1
20608,>= 60,M,2021-09-23,1
20608,>= 60,M,2021-12-16,1
20608,>= 60,M,2022-01-20,1
20608,>= 60,M,2022-02-03,1
20608,>= 60,M,2022-04-14,1
20608,>= 60,M,2022-05-26,1
20608,>= 60,M,2022-06-02,1
20608,>= 60,M,2022-07-14,1
20608,>= 60,M,2022-08-11,1
20608,>= 60,M,2022-08-25,1
20608,>= 60,M,2022-10-06,1
20608,>= 60,M,2022-12-08,1
20608,>= 60,M,2023-05-18,1
20701,0-19,F,2018-05-10,1
20701,0-19,F,2019-03-14,1
20701,0-19,F,2019-04-18,1
20701,0-19,F,2019-06-06,1
20701,0-19,F,2020-02-27,1
20701,0-19,F,2020-09-24,1
20701,0-19,F,2021-04-08,1
20701,0-19,F,2022-03-24,2
20701,0-19,F,2022-05-12,1
20701,0-19,F,2022-07-21,1
20701,0-19,F,2023-01-19,1
20701,0-19,F,2023-07-27,1
20701,0-19,M,2017-03-09,1
20701,0-19,M,2017-05-11,1
20701,0-19,M,2018-10-25,1
20701,0-19,M,2018-11-01,2
20701,0-19,M,2018-12-06,1
20701,0-19,M,2019-01-03,1
20701,0-19,M,2019-02-28,1
20701,0-19,M,2019-10-17,1
20701,0-19,M,2020-01-23,1
20701,0-19,M,2020-08-27,1
20701,0-19,M,2021-02-04,1
20701,0-19,M,2022-06-23,1
20701,20-39,F,2017-07-27,1
20701,20-39,F,2018-05-03,1
20701,20-39,F,2018-07-05,1
20701,20-39,F,2019-11-28,1
20701,20-39,F,2020-05-07,1
20701,20-39,F,2021-01-14,1
20701,20-39,F,2021-02-04,1
20701,20-39,F,2021-02-18,1
20701,20-39,F,2021-04-29,1
20701,20-39,F,2021-07-29,1
20701,20-39,F,2021-09-23,1
20701,20-39,F,2021-10-07,1
20701,20-39,F,2022-02-03,1
20701,20-39,F,2022-02-10,2
20701,20-39,F,2022-08-25,1
20701,20-39,F,2022-10-13,1
20701,20-39,F,2022-12-22,1
20701,20-39,F,2023-03-16,1
20701,20-39,F,2023-06-08,1
20701,20-39,M,2017-02-16,1
20701,20-39,M,2017-07-27,1
20701,20-39,M,2018-06-28,1
20701,20-39,M,2018-10-18,1
20701,20-39,M,2018-12-06,3
20701,20-39,M,2019-02-28,1
20701,20-39,M,2020-08-06,1
20701,20-39,M,2021-07-08,1
20701,20-39,M,2021-12-02,1
20701,20-39,M,2021-12-30,1
20701,20-39,M,2022-01-27,1
20701,20-39,M,2022-04-07,1
20701,20-39,M,2022-05-26,1
20701,20-39,M,2022-06-16,1
20701,20-39,M,2022-08-04,3
20701,20-39,M,2022-12-08,1
20701,20-39,M,2023-01-12,1
20701,40-49,F,2018-01-11,1
20701,40-49,F,2020-10-08,1
20701,40-49,F,2021-09-16,1
20701,40-49,F,2021-10-28,1
20701,40-49,F,2022-04-21,1
20701,40-49,F,2022-05-12,1
20701,40-49,F,2022-07-28,1
20701,40-49,F,2023-01-19,1
20701,40-49,M,2018-06-28,1
20701,40-49,M,2019-04-18,1
20701,40-49,M,2020-02-27,1
20701,40-49,M,2020-07-16,1
20701,40-49,M,2020-08-27,1
20701,40-49,M,2020-12-31,1
20701,40-49,M,2021-02-04,1
20701,40-49,M,2021-04-29,1
20701,40-49,M,2021-06-10,1
20701,40-49,M,2022-12-01,1
20701,40-49,M,2023-05-18,1
20701,50-59,F,2017-06-08,1
20701,50-59,F,2017-09-21,1
20701,50-59,F,2017-12-14,1
20701,50-59,F,2018-08-02,1
20701,50-59,F,2019-04-18,1
20701,50-59,F,2019-07-04,1
20701,50-59,F,2021-02-04,1
20701,50-59,F,2021-05-13,1
20701,50-59,F,2023-01-19,1
20701,50-59,M,2017-03-02,1
20701,50-59,M,2018-02-22,1
20701,50-59,M,2018-12-06,1
20701,50-59,M,2019-09-19,1
20701,50-59,M,2019-11-21,1
20701,50-59,M,2021-02-04,1
20701,50-59,M,2021-03-18,1
20701,50-59,M,2021-04-01,1
20701,50-59,M,2021-07-08,1
20701,50-59,M,2022-01-13,1
20701,50-59,M,2022-01-27,1
20701,50-59,M,2022-02-17,1
20701,50-59,M,2022-06-02,1
20701,50-59,M,2022-12-22,1
20701,>= 60,F,2017-03-09,1
20701,>= 60,F,2017-03-23,1
20701,>= 60,F,2017-03-30,1
20701,>= 60,F,2017-04-20,2
20701,>= 60,F,2017-05-04,1
20701,>= 60,F,2017-06-15,1
20701,>= 60,F,2017-06-29,1
20701,>= 60,F,2017-08-03,1
20701,>= 60,F,2017-08-10,1
20701,>= 60,F,2017-10-12,1
20701,>= 60,F,2017-10-19,1
20701,>= 60,F,2017-10-26,1
20701,>= 60,F,2018-03-01,1
20701,>= 60,F,2018-03-15,1
20701,>= 60,F,2018-05-10,1
20701,>= 60,F,2018-05-31,1
20701,>= 60,F,2018-07-05,1
20701,>= 60,F,2018-08-16,1
20701,>= 60,F,2018-10-11,1
20701,>= 60,F,2018-10-18,1
20701,>= 60,F,2018-11-01,1
20701,>= 60,F,2018-11-08,1
20701,>= 60,F,2019-01-10,1
20701,>= 60,F,2019-01-17,1
20701,>= 60,F,2019-02-14,1
20701,>= 60,F,2019-03-28,1
20701,>= 60,F,2019-05-09,1
20701,>= 60,F,2019-06-13,1
20701,>= 60,F,2019-06-27,1
20701,>= 60,F,2019-08-22,1
20701,>= 60,F,2019-10-10,1
20701,>= 60,F,2019-10-17,1
20701,>= 60,F,2019-12-26,1
20701,>= 60,F,2020-01-09,1
20701,>= 60,F,2020-04-16,1
20701,>= 60,F,2020-05-21,1
20701,>= 60,F,2020-06-18,1
20701,>= 60,F,2020-06-25,1
20701,>= 60,F,2020-07-02,2
20701,>= 60,F,2020-08-20,1
20701,>= 60,F,2020-08-27,1
20701,>= 60,F,2020-10-22,1
20701,>= 60,F,2020-12-03,1
20701,>= 60,F,2021-01-28,2
20701,>= 60,F,2021-02-11,1
20701,>= 60,F,2021-03-04,1
20701,>= 60,F,2021-05-20,1
20701,>= 60,F,2021-06-10,1
20701,>= 60,F,2021-06-17,2
20701,>= 60,F,2021-07-08,1
20701,>= 60,F,2021-07-29,1
20701,>= 60,F,2021-08-05,1
20701,>= 60,F,2021-08-19,1
20701,>= 60,F,2021-09-02,1
20701,>= 60,F,2021-09-16,1
20701,>= 60,F,2021-10-07,1
20701,>= 60,F,2021-10-14,1
20701,>= 60,F,2021-12-23,2
20701,>= 60,F,2022-01-06,2
20701,>= 60,F,2022-01-13,1
20701,>= 60,F,2022-01-20,2
20701,>= 60,F,2022-02-17,1
20701,>= 60,F,2022-03-24,1
20701,>= 60,F,2022-04-07,1
20701,>= 60,F,2022-04-21,2
20701,>= 60,F,2022-07-07,1
20701,>= 60,F,2022-07-14,2
20701,>= 60,F,2022-07-28,1
20701,>= 60,F,2022-08-04,1
20701,>= 60,F,2022-08-11,2
20701,>= 60,F,2022-08-18,1
20701,>= 60,F,2022-09-01,1
20701,>= 60,F,2022-09-08,1
20701,>= 60,F,2022-09-29,1
20701,>= 60,F,2022-10-06,1
20701,>= 60,F,2022-10-13,1
20701,>= 60,F,2022-11-17,2
20701,>= 60,F,2022-12-01,1
20701,>= 60,F,2022-12-08,1
20701,>= 60,F,2022-12-29,2
20701,>= 60,F,2023-02-09,1
20701,>= 60,F,2023-02-16,2
20701,>= 60,F,2023-03-09,1
20701,>= 60,F,2023-04-13,1
20701,>= 60,F,2023-04-20,1
20701,>= 60,F,2023-05-11,1
20701,>= 60,F,2023-06-22,1
20701,>= 60,M,2017-01-05,2
20701,>= 60,M,2017-02-16,1
20701,>= 60,M,2017-03-02,1
20701,>= 60,M,2017-03-16,1
20701,>= 60,M,2017-04-06,2
20701,>= 60,M,2017-05-04,1
20701,>= 60,M,2017-06-08,1
20701,>= 60,M,2017-06-15,2
20701,>= 60,M,2017-07-06,1
20701,>= 60,M,2017-08-31,1
20701,>= 60,M,2017-09-21,1
20701,>= 60,M,2018-01-18,1
20701,>= 60,M,2018-01-25,1
20701,>= 60,M,2018-03-01,1
20701,>= 60,M,2018-06-28,2
20701,>= 60,M,2018-07-12,1
20701,>= 60,M,2018-07-19,2
20701,>= 60,M,2018-09-06,1
20701,>= 60,M,2018-10-18,1
20701,>= 60,M,2018-10-25,1
20701,>= 60,M,2018-11-01,1
20701,>= 60,M,2018-11-08,1
20701,>= 60,M,2018-11-29,1
20701,>= 60,M,2018-12-06,1
20701,>= 60,M,2019-01-03,2
20701,>= 60,M,2019-02-21,1
20701,>= 60,M,2019-02-28,1
20701,>= 60,M,2019-03-14,2
20701,>= 60,M,2019-04-25,1
20701,>= 60,M,2019-05-02,1
20701,>= 60,M,2019-06-06,1
20701,>= 60,M,2019-10-03,1
20701,>= 60,M,2019-10-10,1
20701,>= 60,M,2019-10-17,2
20701,>= 60,M,2019-11-07,2
20701,>= 60,M,2019-11-21,1
20701,>= 60,M,2019-11-28,2
20701,>= 60,M,2020-01-23,1
20701,>= 60,M,2020-02-27,2
20701,>= 60,M,2020-03-05,1
20701,>= 60,M,2020-03-12,1
20701,>= 60,M,2020-04-09,1
20701,>= 60,M,2020-06-18,1
20701,>= 60,M,2020-08-13,3
20701,>= 60,M,2020-09-03,2
20701,>= 60,M,2020-10-15,1
20701,>= 60,M,2020-10-22,1
20701,>= 60,M,2020-11-19,2
20701,>= 60,M,2020-12-31,1
20701,>= 60,M,2021-01-14,1
20701,>= 60,M,2021-01-21,2
20701,>= 60,M,2021-01-28,3
20701,>= 60,M,2021-02-11,1
20701,>= 60,M,2021-02-25,1
20701,>= 60,M,2021-03-18,1
20701,>= 60,M,2021-03-25,2
20701,>= 60,M,2021-05-06,1
20701,>= 60,M,2021-05-13,1
20701,>= 60,M,2021-05-20,1
20701,>= 60,M,2021-05-27,1
20701,>= 60,M,2021-06-10,3
20701,>= 60,M,2021-06-17,1
20701,>= 60,M,2021-06-24,1
20701,>= 60,M,2021-07-08,1
20701,>= 60,M,2021-07-22,1
20701,>= 60,M,2021-08-05,1
20701,>= 60,M,2021-08-12,1
20701,>= 60,M,2021-09-02,1
20701,>= 60,M,2021-09-23,2
20701,>= 60,M,2021-09-30,1
20701,>= 60,M,2021-11-18,1
20701,>= 60,M,2021-11-25,1
20701,>= 60,M,2021-12-09,2
20701,>= 60,M,2021-12-16,2
20701,>= 60,M,2021-12-23,1
20701,>= 60,M,2021-12-30,1
20701,>= 60,M,2022-01-13,1
20701,>= 60,M,2022-01-27,1
20701,>= 60,M,2022-02-03,1
20701,>= 60,M,2022-02-10,1
20701,>= 60,M,2022-02-17,1
20701,>= 60,M,2022-03-10,1
20701,>= 60,M,2022-03-17,1
20701,>= 60,M,2022-04-14,1
20701,>= 60,M,2022-05-05,1
20701,>= 60,M,2022-05-26,1
20701,>= 60,M,2022-06-02,1
20701,>= 60,M,2022-06-16,1
20701,>= 60,M,2022-08-25,1
20701,>= 60,M,2022-09-22,1
20701,>= 60,M,2022-09-29,1
20701,>= 60,M,2022-10-13,1
20701,>= 60,M,2022-10-27,2
20701,>= 60,M,2022-11-10,1
20701,>= 60,M,2022-12-29,2
20701,>= 60,M,2023-02-02,1
20701,>= 60,M,2023-03-09,2
20701,>= 60,M,2023-04-13,1
20701,>= 60,M,2023-04-27,1
20701,>= 60,M,2023-06-08,1
20701,>= 60,M,2023-06-22,1
20701,>= 60,M,2023-07-20,1
20702,0-19,F,2021-08-26,1
20702,0-19,F,2022-06-09,1
20702,0-19,F,2023-04-06,1
20702,0-19,M,2017-02-09,1
20702,0-19,M,2020-05-14,1
20702,0-19,M,2020-07-30,1
20702,0-19,M,2020-08-06,1
20702,0-19,M,2020-10-08,1
20702,0-19,M,2021-02-11,1
20702,0-19,M,2022-03-24,1
20702,0-19,M,2022-04-07,1
20702,0-19,M,2022-09-15,1
20702,0-19,M,2023-01-12,1
20702,20-39,F,2019-06-13,1
20702,20-39,F,2021-08-26,1
20702,20-39,M,2017-01-12,1
20702,20-39,M,2017-02-09,1
20702,20-39,M,2017-04-06,1
20702,20-39,M,2018-05-17,1
20702,20-39,M,2018-11-22,1
20702,20-39,M,2019-10-03,2
20702,20-39,M,2021-11-04,1
20702,20-39,M,2022-12-08,1
20702,40-49,M,2018-07-19,1
20702,40-49,M,2019-12-19,1
20702,40-49,M,2020-02-06,1
20702,40-49,M,2020-11-05,1
20702,40-49,M,2021-08-19,1
20702,40-49,M,2021-11-11,1
20702,40-49,M,2023-05-11,1
20702,50-59,F,2019-03-07,1
20702,50-59,F,2021-10-28,1
20702,50-59,F,2022-04-21,1
20702,50-59,M,2017-09-21,1
20702,50-59,M,2019-09-19,1
20702,50-59,M,2020-12-17,1
20702,50-59,M,2021-03-04,1
20702,50-59,M,2022-10-06,1
20702,>= 60,F,2017-04-27,1
20702,>= 60,F,2018-04-05,1
20702,>= 60,F,2018-04-12,1
20702,>= 60,F,2018-05-24,2
20702,>= 60,F,2018-07-19,1
20702,>= 60,F,2018-09-06,1
20702,>= 60,F,2018-11-15,1
20702,>= 60,F,2018-11-22,2
20702,>= 60,F,2019-03-14,1
20702,>= 60,F,2019-04-25,1
20702,>= 60,F,2019-06-27,1
20702,>= 60,F,2019-09-19,1
20702,>= 60,F,2019-10-10,1
20702,>= 60,F,2019-11-07,1
20702,>= 60,F,2019-11-21,1
20702,>= 60,F,2020-03-12,1
20702,>= 60,F,2020-04-16,1
20702,>= 60,F,2020-06-11,1
20702,>= 60,F,2020-07-16,1
20702,>= 60,F,2020-08-20,2
20702,>= 60,F,2020-09-17,1
20702,>= 60,F,2020-11-12,1
20702,>= 60,F,2020-12-24,1
20702,>= 60,F,2021-01-14,1
20702,>= 60,F,2021-02-25,1
20702,>= 60,F,2021-06-24,2
20702,>= 60,F,2021-07-01,1
20702,>= 60,F,2021-07-08,1
20702,>= 60,F,2022-01-06,1
20702,>= 60,F,2022-01-13,1
20702,>= 60,F,2022-01-27,1
20702,>= 60,F,2022-03-31,1
20702,>= 60,F,2022-10-06,1
20702,>= 60,F,2022-10-20,1
20702,>= 60,F,2022-12-08,1
20702,>= 60,F,2023-02-09,1
20702,>= 60,F,2023-05-11,1
20702,>= 60,F,2023-06-22,2
20702,>= 60,M,2017-06-01,1
20702,>= 60,M,2017-07-13,1
20702,>= 60,M,2017-08-03,1
20702,>= 60,M,2017-08-10,2
20702,>= 60,M,2018-04-19,1
20702,>= 60,M,2018-06-07,1
20702,>= 60,M,2018-06-14,1
20702,>= 60,M,2018-08-09,1
20702,>= 60,M,2018-08-16,1
20702,>= 60,M,2018-09-27,1
20702,>= 60,M,2018-10-11,1
20702,>= 60,M,2018-10-18,1
20702,>= 60,M,2019-01-10,2
20702,>= 60,M,2019-03-14,1
20702,>= 60,M,2019-12-26,1
20702,>= 60,M,2020-02-13,1
20702,>= 60,M,2020-03-05,1
20702,>= 60,M,2020-05-14,1
20702,>= 60,M,2020-06-11,1
20702,>= 60,M,2020-07-09,1
20702,>= 60,M,2020-07-23,1
20702,>= 60,M,2020-08-13,1
20702,>= 60,M,2020-08-20,1
20702,>= 60,M,2020-08-27,1
20702,>= 60,M,2020-09-10,1
20702,>= 60,M,2020-09-17,1
20702,>= 60,M,2020-10-22,1
20702,>= 60,M,2020-10-29,1
20702,>= 60,M,2021-01-07,2
20702,>= 60,M,2021-05-20,1
20702,>= 60,M,2021-07-01,1
20702,>= 60,M,2021-07-08,1
20702,>= 60,M,2021-07-15,1
20702,>= 60,M,2021-08-05,1
20702,>= 60,M,2022-01-20,1
20702,>= 60,M,2022-02-03,1
20702,>= 60,M,2022-02-10,2
20702,>= 60,M,2022-03-17,1
20702,>= 60,M,2022-03-24,1
20702,>= 60,M,2022-11-10,1
20702,>= 60,M,2023-05-25,1
20801,0-19,F,2017-03-09,1
20801,0-19,F,2017-04-27,1
20801,0-19,F,2017-08-17,1
20801,0-19,F,2017-08-24,1
20801,0-19,F,2017-09-14,1
20801,0-19,F,2017-10-19,1
20801,0-19,F,2017-10-26,1
20801,0-19,F,2017-12-07,1
20801,0-19,F,2017-12-14,1
20801,0-19,F,2018-01-04,2
20801,0-19,F,2018-02-15,1
20801,0-19,F,2018-05-24,1
20801,0-19,F,2018-06-14,1
20801,0-19,F,2018-08-16,1
20801,0-19,F,2018-09-13,1
20801,0-19,F,2018-10-18,1
20801,0-19,F,2018-11-22,1
20801,0-19,F,2018-12-13,1
20801,0-19,F,2019-01-10,1
20801,0-19,F,2019-02-07,1
